Категория,Название,Цена,Описание,Готовность в течение,Биоматериалы
COVID,Срочный ПЦР-тест на РНК коронавируса (SARS-CoV-2),2490,"Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",1,"Мазок с зева, Мокрота"
COVID,Обследование после новой коронавирусной инфекции COVID-19,4990,"Клинический анализ крови + Лейкоцитарная формула + СОЭ, Д-димер, АЛТ (аланинаминотрансфераза), АСТ (аспартатаминотрансфераза), Билирубин общий, Креатинин, Мочевина, Скорость клубочкой фильтрации CKD-EPI, Лактатдегидрогеназа (ЛДГ), Ферритин, Липидный обмен (триглицериды; холестерин общий; ХС ЛПВП; ХС ЛПНП; Индекс атерогенности), С-реактивный белок, Антитела к SARS-CoV-2 IgG колич., Антитела к SARS-CoV-2 IgM.",3,"Сыворотка крови, Кровь с EDTA, Плазма цитрат"
COVID,Комплексный анализ на антитела к коронавирусу SARS-Cov-2: IgM и IgG,2790,"Анализ крови на антитела IgM кач. и IgG колич. к вирусу SARS-CoV-2 – исследование, которое помогает проверить наличие антител в крови к коронавирусу. 
IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления. 
IgG-антитела -антитела начинают появляются в крови в острой стадии инфекционного процесса, но максимальная их выработка происходит обычно через 10-14 дней после перенесенной инфекции. Выявление IgG антител к SARS-CoV-2 свидетельствует, что человек выздоравливает или уже переболел коронавирусной инфекцией.",1,Кровь
COVID,Комплексное исследование после вакцинации от новой коронавирусной инфекции (COVID-19),3990,"Исследование включает в себя антитела IgG колич.  + общий анализ крови с лейкоцитарной формулой + IgE суммарный. Антитела к спайковому белку позволят оценить, защищен ли организм от инфекции и как приобретенный иммунитет меняется со временем. Общий анализ крови и маркеры аллергической реакции покажут, как вакцина влияет на организм и иммунную систему в целом.",3,Сыворотка
COVID,Авидность IgG - антител к SARS-CoV-2 с помощью метода иммуноферментного анализа (ИФА),1290,"Авидность IgG антител к SARS-CoV-2 – это один из показателей специфического серологического исследования, которое обязательно проводится при подтверждении диагноза коронавирусной инфекции COVID-19. Данный показатель авидности позволяет определить время инфицирования и давность заболевания.",3,Кровь
COVID,"Антитела к коронавирусу SARS-Cov-2 IgM, полуколичественный",1490,"Исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления.",1,Кровь
COVID,Комплексное исследование перед вакцинацией от новой коронавирусной инфекции (COVID-19),4990,"Исследование включает в себя общий анализ крови с лейкоцитарной формулой + СОЭ + АЛТ + АСТ + билирубин общий + креатинин + IgE суммарный + C-реактивный белок, антитела к коронавирусу (SARS-CoV-2) IgG, колич., IgM. Перед вакцинацией важно понимать, здоров ли ваш организм и как отреагирует на прививку. Тест проверяет основные показатели здоровья и наличие аллергических реакций и воспаления. А также маркеры уровня антител на случай, если вы уже переболели, чтобы не было лишней нагрузки на иммунную систему.",3,Сыворотка
Чекапы,Базовый чекап (совместно с PRO-Здоровье),11900,"В состав исследования входит: общий белок, альбумин, креатинин, мочевина, АЛТ, АСТ, щелочная фосфотаза, билирубин общий, билирубин прямой, мочевая кислота, ГГТ, глюкоза, холестерин общий, триглицериды, ЛПНП, ЛПВП, общий анализ крови с лейкоцитарной формулой и СОЭ, инсулин, лептин, тиреотропный гормон (ТТГ), трийодтиронин (Т3) свободный, тироксин свободный (Т4), антитела к тиреопероксидазе (антиТПО), АТ-ТГ, железо, ферритин, витамин D,  гомоцистеин , гликированный гемоглобин, медь в крови,  цинк в крови, копрограмма.",9,"Кровь, кал"
Чекапы,Ежегодный чекап,5990,"Комплекс предназначен для скрининга наиболее частых для человека заболеваний, в том числе инфекционных и воспалительных процессов, сахарного диабета, гиперхолестеринемии и дефицита некоторых витаминов. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, глюкоза крови, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий белок, креатинин, мочевина, кальций общий, железо, витамин D, холестерин общий, триглицериды, мочевая кислота, альфа-амилаза.",2,"Кровь, моча"
Чекапы,Ежегодный чекап + генетический тест Атлас,16990,"Чекап предназначен для скрининга наиболее частых для человека заболеваний, в том числе инфекционных и воспалительных процессов, сахарного диабета, гиперхолестеринемии и дефицита некоторых витаминов. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, глюкоза крови, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий белок, креатинин, мочевина, кальций общий, железо, витамин D, холестерин общий, триглицериды, мочевая кислота, альфа-амилаза. Генетические тест от Атлас определит предрасположенности и риски возникновения наследственных и многофакторных заболеваний.",2,Кровь
Чекапы,Инсулинорезистентность,1490,"Основная жалоба при нарушении чувствительности к инсулину - трудности с потерей веса и хроническая усталось при приступах голода. Однако инсулинорезистентность также повышает риск сердечно-сосудистых, онкологических и нейродегенеративных заболеваний. Рекомендуется проверять ежегодно.
В исследование входит: Гликированный гемоглобин А1с %, Инсулин",3,"Кровь с edta, сыворотка"
Чекапы,Обмен железа,2190,"Нарушения обмена железа являются частой причиной при хронической усталости, быстрой утомляемости и раздражительности. Рекомендуется при отклонениях гема в общем анализе крови и при жалобах.
В иследование входит: Железо, Ферритин, Ретикулоциты, Трансферрин, Общая железосвязывающая способность (ОЖСС) + Индекс насыщения трансферрина",3,"Сыворотка, кровь"
Чекапы,Персональный чекап Анны Батуевой,5900,"В комплекс входит: Общий анализ крови, ЛПВП, ЛПНП, ЛПОНП, триглицериды, АЛТ, АСТ, билирубин прямой, билирубин непрямой, глюкоза, гликированный гемоглобин, инсулин, с-реактивный белок, белок общий, альбумин, креатинин, мочевина, мочевая кислота, щелочная фосфатаза, ГГТ, ТТГ, ферритин, копрограмма.",1,"Кровь, кал"
Чекапы,Персональный чекап Анны Березиной,6900,"В комплекс входит: общий белок, ЛПВП, ЛПНП, триглицериды, глюкоза, инсулин, АЛТ, АСТ, витамин D, cывороточное железо, ферритин, клинический анализ крови с лейкоцитарной формулой и СОЭ, ТТГ, т4 свободный, кортизол, пролактин.",1,Кровь
Чекапы,Персональный чекап Виктории Волоховой,8900,"Чекап поможет проверить базовые показатели здоровья. В комплекс входит: клинический анализ крови, гомоцистеин, ферритин, железо, белок общий, мочевина, мочевая кислота, АЛТ, АСТ, глюкоза, инсулин, холестерин общий, ЛПВП, ЛПНП, триглицериды, билирубин общий, щелочная фосфатаза, ГГТ, ТТГ, Т3 свободный, Т4 свободный, витамин D.",1,Кровь
Чекапы,Половые гормоны,3190,"Синтез половых гормонов влияет на здоровье репродуктивной системы, а также общее самочувствие, выносливость при физических нагрузках, настроение и энергию. Комплекс рекомендован при планировании детей, занятий спортом и наличии жалоб на повышенную утомляемость или снижение стрессоустойчивости.
В исследование входит: ДГЭА-сульфат, Лютеинизирующий гормон, Фолликулостимулирующий гормон, Пролактин, Эстрадиол, Тестостерон общий",1,Сыворотка
Чекапы,Расширенный чекап (совместно с PRO-Здоровье),16900,"В состав исследования входит: общий белок, альбумин, креатинин, мочевина, АЛТ, АСТ, щелочная фосфотаза, билирубин общий, билирубин прямой, мочевая кислота, ГГТ, глюкоза, холестерин общий, триглицериды, ЛПНП, ЛПВП, общий анализ крови с лейкоцитарной формулой и СОЭ, инсулин, лептин, тиреотропный гормон (ТТГ), трийодтиронин (Т3) свободный, тироксин свободный (Т4), антитела к тиреопероксидазе (антиТПО), АТ-ТГ, железо, ферритин, витамин D, витамин В12, фолиевая кислота, гомоцистеин , гликированный гемоглобин, медь в крови, магний в крови, цинк в крови, антитела к candida IgG, копрограмма.",9,"Кровь, кал"
Чекапы,Сердце и сосуды,2490,"Оценка параметров свертываемости крови, рисков тромбообразования и сердечно-сосудистых заболеваний. Рекомендуется для ежегодного скрининга от 30 лет и при планировании занятий спортом.
В исследование входит: Гомоцистеин, АЧТВ, Тромбиновое время, Фибриноген",1,"Сыворотка, кровь с цитратом"
Чекапы,Стоматологический чекап,3590,"Комплекс небходим при подготовке к запланированному хирургическому вмешательству в стоматологии. Исследования помогут оценить общее состояние организма, систему свертывания и состояние печени, а так же исследование на предпологаемое носительство вирусов гепатита В, С и ВИЧ. Данное обследование поможет врачу-специалисту сформировать план лечения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, anti-HCV, суммарные антитела; HBsAg; ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела; кальций ионизированный, глюкоза, билирубин общий, щелочная фосфатаза (ЩФ), АСТ, АЛТ, фибриноген, АЧТВ, МНО, протромбиновое время.",2,Кровь
Чекапы,Чекап COVID (совместно с PRO-Здоровье),8900,"В комплекс входит: Общий анализ крови с лейкоцитарной формулой и СОЭ, общий белок, АСТ, АЛТ, билирубин общий, билирубин прямой, глюкоза, холестерин общий, ЛПНП, ЛПВП, индекс атерогенности, с-реактивный белок, ферритин, гомоцистеин , витамин В12, фолиевая кислота, медь в крови, магний в крови, цинк в крови, витамин D, копрограмма.",5,"Кровь, кал"
Чекапы,Чекап Витамины и микроэлементы (совместно с Biocharge),9900,"В комплекс входит: Ферритин , литий, Li;, бор, B;магний, Mg; алюминий, Al; кремний, Si ;кальций, Ca; титан, Ti; хром, Cr; марганец, Mn;железо, Fe; кобальт, Co; никель, Ni; медь, Cu; цинк, Zn; мышьяк, As; селен, Se; молибден, Mo; кадмий, Cd; сурьма, Sb; ртуть, Hg;  свинец, Pb; витамин B9 (фолиевая кислота); витамин D: 25-OH D2 (25 - гидроксиэргокальциферол) / 25-ОН D3 (25 - гидроксихолекальциферол), витамин E (токоферол) в крови.",5,Кровь
Чекапы,Чекап Дети (базовый),3890,"Комплекс позволяет определить основные параметры, необходимые для здорового развития ребенка. Выявляет инфекционные, воспалительные, аллергические процессы, а так же помогает оценить состояние костной ткани и кроветворения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, IgE общий, глюкоза крови, АСТ, АЛТ, билирубин общий, железо сыворотки, мочевина, креатинин, общий белок, витамин D, кальций общий.",2,"Кровь, моча"
Чекапы,Чекап Дети (расширенный),6190,"Комплекс позволяет определить основные параметры, необходимые для здорового развития ребенка. Выявляет инфекционные, воспалительные, аллергические процессы, а так же помогает оценить состояние костной ткани и кроветворения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, IgE общий, глюкоза крови, АСТ, АЛТ, билирубин общий, железо сыворотки, мочевина, креатинин, общий белок, витамин D, кальций общий, антитела к аскаридам (Ascaris lumbricoides), IgG, антитела к антигенам лямблий (суммарные: IgA, IgG, IgM).",7,"Кровь, моча"
Чекапы,Чекап Диетологический (базовый),5490,"Комплекс позволяет выполнить оценку организма, выявить наиболее частые причины повышения веса - нерациональное питание и нарушения функции щитовидной железы. Поможет в составлении рационального плана питания с учетом ваших особенностей. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, АЛТ, АСТ, глюкоза крови, железо в сыворотке, креатинин в сыворотке, скорость клубочковой фильтрации, общий белок, ферритин, витамин D, инсулин, тироксин общий (Т4),  тиреотропный гормон (ТТГ), липидограмма, билирубин и его фракции.",3,Кровь
Чекапы,Чекап Диетологический (расширенный),7900,"Комплекс поможет оценить состояние органов и систем организма, исключить набор веса на фоне возможных эндокринных заболеваний (щитовидная железа, половые гормоны), заболеваний органов пищеварения, сахарный диабет и др. Позволит выбрать индивидуальный подход к составлению программы питания с учетом ваших индивидуальных параметров организма. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, АЛТ, АСТ, глюкоза крови, железо в сыворотке, креатинин в сыворотке, Сскорость клубочковой фильтрации, общий белок, ферритин, витамин D, глобулин связывающий половые гормоны, инсулин, дигидротестостерон, тироксин общий (Т4), трийодтиронин общий (Т3), тиреотропный гормон (ТТГ), фолликулостимулирующий гормон (ФСГ), пролактин, лютеонизирующий гормон (ЛГ), эстрадиол, липидограмма, билирубин и его фракции.",6,Кровь
Чекапы,Чекап Для двоих,5900,"Анализ крови в случае риска заражения инфекциями передающимися половым путем (ВИЧ, вирусные гепатиты, ВПГ II типа, сифилис, хламидиоз, трихоманоз, микоплазмоз). Исследование проводится для двух клиентов. В комплекс входит: anti-HCV, суммарные антитела, HBsAg, ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела, антитела к хламидии (Chlamydia trachomatis), IgA, антитела к вирусу простого герпеса II типа, IgG, антитела к трихомонаде (Trichomonas vaginalis), IgG, антитела к микоплазме (Mycoplasma hominis), IgА.",7,Кровь
Чекапы,Чекап Женское здоровье,5900,"Комплексное обследование, предназначенное для оценки жалоб и скрининга наиболее актуальных для женщин состояний. Таких как изменение менструального цикла, бесплодие, рак молочной железы и яичников, инфекции передающиеся половым путем. В комплекс входит: Лютеонизирующий гормон (ЛГ), фолликулостимулирующий гормон (ФСГ), пролактин, эстрадиол, дигидротестостерон, кортизол крови, anti-HCV, суммарные антитела, HBsAg, ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела, антиген CA 15-3, антиген СА 125.",6,Кровь
Чекапы,Чекап Мужское здоровье,5900,"Комплексное обследование, предназначенное для оценки жалоб и скрининга наиболее актуальных для мужчин состояний. Таких как снижение либидо и лишний вес,простатиты, рак простаты, инфекции передающиеся половым путем. В комплекс входит: Тестостерон, тестостерон свободный, фолликулостимулирующий гормон (ФСГ), пролактин, глобулин связывающий половые гормоны, лютеонизирующий гормон (ЛГ), ПСА своб. + ПСА обш. + ПСА св./ПСА общ, anti-HCV, суммарные антитела, HBsAg, ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела.",3,Кровь
Чекапы,Чекап Пожилые,7990,"Чекап предназначен для выявления особых состояний, характерных для людей возрастом старше 60-ти лет, таких как сахарный диабет, атеросклероз сосудов, остеопороз, онкология. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, глюкоза крови, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий белок, креатинин, мочевина, кальций общий, железо, витамин D, холестерин общий, триглицериды, мочевая кислота, альфа-амилаза, РАЭ (раковый эмбриональный антиген), ПСА своб. + ПСА общ. + ПСА св./ПСА общ (для мужчин), антиген CA 15-3 (для женщин), антиген CA 125 (для женщин).",3,"Кровь, моча"
